date,open,high,low,close,Volume BTC,Volume USDT
8/17/2017 4:00,16199.91,16199.91,4261.32,4308.83,44.51,190952.85
8/17/2017 5:00,4308.83,4328.69,4291.37,4315.32,23.23,100304.82
8/17/2017 6:00,4315.32,4345.45,4309.37,4324.35,7.23,31282.31
8/17/2017 7:00,4324.35,4349.99,4287.41,4349.99,4.44,19241.06
8/17/2017 8:00,4349.99,4377.85,4333.32,4360.69,0.9499,4139.7
8/17/2017 9:00,4360.69,4445.78,4360,4444,10.76,47219.36
8/17/2017 10:00,4444,4470,4399.81,4460,23.94,106203.72
8/17/2017 11:00,4460,4485.39,4427.3,4427.3,27.02,120751.57
8/17/2017 12:00,4427.3,4449.56,4411,4411,23.03,102126.52
8/17/2017 13:00,4411,4459,4411,4459,30.76,136515.55
8/17/2017 14:00,4459,4485.39,4435.93,4470.82,51.74,230871.45
8/17/2017 15:00,4470.82,4470.82,4333.42,4352.34,67.79,299224.79
8/17/2017 16:00,4352.34,4354.35,4255.3,4354.18,67.17,289379.63
8/17/2017 17:00,4354.18,4354.84,4235.45,4354.18,59.54,256367.56
8/17/2017 18:00,4289.24,4302.45,4218.68,4256.97,51.28,218259.36
8/17/2017 19:00,4256.97,4335.3,4200.74,4325.23,46.22,197425.28
8/17/2017 20:00,4325.23,4354.84,4258.56,4325.23,48.96,210501.53
8/17/2017 21:00,4346.74,4369.69,4309.23,4333.55,61.76,268227.11
8/17/2017 22:00,4333.55,4359.13,4310,4336.8,57.38,248368.28
8/17/2017 23:00,4336.8,4337.38,4280.82,4285.08,81.29,350806.21
8/18/2017 0:00,4285.08,4340.62,4228.76,4286.53,78.74,337549.35
8/18/2017 1:00,4286.53,4286.53,4134.61,4243.59,72.32,304223.23
8/18/2017 2:00,4243.59,4298.64,4234,4267.59,54.07,230478.63
8/18/2017 3:00,4267.59,4308.7,4234,4292.39,63.48,271281.6
8/18/2017 4:00,4292.39,4292.39,4234.43,4287.92,50.69,216069.15
8/18/2017 5:00,4287.92,4340.62,4250.04,4313.56,64,274857.3
8/18/2017 6:00,4313.56,4316.98,4247.75,4279.46,63.95,274013.68
8/18/2017 7:00,4279.46,4304.67,4270.48,4300.25,68.92,295447.38
8/18/2017 8:00,4300.25,4320.71,4259.85,4282.73,73.83,316938.59
8/18/2017 9:00,4282.73,4327.25,4265.33,4304.15,45.64,196232.32
8/18/2017 10:00,4304.15,4371.52,4296.04,4356.31,51.54,223471
8/18/2017 11:00,4356.31,4357.37,4302.72,4340.31,24.09,104474.98
8/18/2017 12:00,4340.31,4340.31,4287.79,4336.52,15.12,65468.18
8/18/2017 13:00,4331.71,4331.71,4221.05,4261.99,17.01,72942.01
8/18/2017 14:00,4293.09,4293.09,4193.7,4259.4,71.29,302601.43
8/18/2017 15:00,4259.4,4259.4,4200,4236.89,39.79,168642.65
8/18/2017 16:00,4236.89,4283.79,4234.54,4250.34,44.54,189710.83
8/18/2017 17:00,4250.34,4250.34,4066.53,4193.35,62.36,261924.27
8/18/2017 18:00,4193.35,4297.75,4117.41,4117.41,25.09,104309.76
8/18/2017 19:00,4117.41,4136.48,4015.7,4136.28,59.7,243223.71
8/18/2017 20:00,4136.28,4136.28,3981.13,4021.11,18.94,76391.96
8/18/2017 21:00,4021.11,4021.11,3938.77,3975.69,14.61,58041.32
8/18/2017 22:00,3975.69,4131.83,3938.77,4113.75,29.03,117307.1
8/18/2017 23:00,4113.75,4136.48,4085.88,4108.37,44.94,184792.57
8/19/2017 0:00,4108.37,4178.31,4084.28,4163.49,41.22,169694.17
8/19/2017 1:00,4163.49,4184.69,4143.11,4148.53,28.84,120196.97
8/19/2017 2:00,4148.53,4184,4148.53,4156.39,18.75,77993.68
8/19/2017 3:00,4156.39,4180,4103.52,4138.55,17.34,71698.58
8/19/2017 4:00,4138.55,4156,4046.26,4068.26,16.26,67042.24
8/19/2017 5:00,4068.26,4123.95,4027.83,4077,11.51,47094.85
8/19/2017 6:00,4077,4082,3986.87,3986.87,49.74,201920.41
8/19/2017 7:00,3986.87,4033.47,3933.21,4033.47,31.43,125576.7
8/19/2017 8:00,4033.47,4064.84,3964.08,3999,17.87,71927.23
8/19/2017 9:00,3999,4082.25,3999,4068.2,4.61,18603.5
8/19/2017 10:00,4068.2,4082,3982.08,4000.58,5.08,20424.67
8/19/2017 11:00,4000.58,4033,3850,3957.6,46.51,184198.27
8/19/2017 12:00,3957.6,4095,3928.89,4095,22.12,89392.01
8/19/2017 13:00,4095,4100,4035.49,4039.84,12.71,51761.33
8/19/2017 14:00,4039.84,4068.31,4013.7,4042.41,4.25,17180.05
8/19/2017 15:00,4042.41,4063.44,3964.67,3972.05,8.15,32834.24
8/19/2017 16:00,3972.05,4049.69,3953.4,4000,3.75,15000.33
8/19/2017 17:00,4000,4048.99,3976.72,4027.37,3.07,12263.25
8/19/2017 18:00,4027.37,4096,4013.69,4086.29,16.96,68501.09
8/19/2017 19:00,4086.29,4103.92,4073.47,4076.12,1.62,6637.28
8/19/2017 20:00,4076.12,4103.92,4051.47,4075.98,2.99,12154.59
8/19/2017 21:00,4075.98,4149.99,4074.23,4074.23,3.95,16200.7
8/19/2017 22:00,4074.23,4141,4074.23,4139.98,2.36,9725.39
8/19/2017 23:00,4139.98,4139.98,4120.78,4139.98,0.0527,217.87
8/20/2017 0:00,4139.98,4139.98,4044,4086.09,2.34,9598.79
8/20/2017 1:00,4086.09,4086.09,4052.82,4082.53,1.06,4322.96
8/20/2017 2:00,4082.53,4124.69,4082.53,4124.69,2.37,9723.1
8/20/2017 3:00,4124.69,4124.69,4094.62,4094.62,0.3476,1428.52
8/20/2017 4:00,4094.62,4094.62,4091.8,4093,0.8092,3313.4
8/20/2017 5:00,4093,4142.16,4087,4117.41,10.74,44122.84
8/20/2017 6:00,4117.41,4117.41,4081.19,4115.41,2.92,11945.53
8/20/2017 7:00,4115.41,4156.56,4081.4,4155.87,14.14,58157.4
8/20/2017 8:00,4155.87,4211.08,4032.62,4184.73,16.29,67509.43
8/20/2017 9:00,4184.73,4184.73,4155,4155,0.3959,1645.26
8/20/2017 10:00,4155,4155,4109.84,4142.41,0.947,3915.52
8/20/2017 11:00,4142.41,4142.41,4080,4106.53,17.28,70777.46
8/20/2017 12:00,4106.53,4125.43,4080,4108.47,2.75,11257.89
8/20/2017 13:00,4108.47,4125,4063.35,4063.35,1.26,5114.58
8/20/2017 14:00,4063.35,4096.32,4063.35,4096.32,1.47,6001.14
8/20/2017 15:00,4096.32,4125,4096.32,4125,23.62,97052.03
